
HEADER;ID;Group;MEgA_ID;Part Reference;Value;Tolerance;Voltage;Power;PCB Footprint;Size;Manufacturer;Assembled;Dry
"C19";"MÏniË +5V/-5V";"51674";"10u";"X5R";"10V";"";"Z0603";"0603";"";"Automat";"";;
"V5";"L3 - Napeti";"52063";"BAT54BRW";"";"30V @1V";"200mA";"ZSOT363";"SOT363";"BAT54BRW";"Automat";"";;
"V6";"L3 - Napeti";"52063";"BAT54BRW";"";"30V @1V";"200mA";"ZSOT363";"SOT363";"BAT54BRW";"Automat";"";;
"V1";"Proud I1";"52330";"*CPDUC1V8HT-HF";"";"1V8/2V3/8V";"160W Bi 0.1uA";"ZSOD523F";"SOD523F-2";"CPDUC1V8HT-HF";"Neosadit";"";;
"V2";"Proud I1";"52330";"*CPDUC1V8HT-HF";"";"1V8/2V3/8V";"160W Bi 0.1uA";"ZSOD523F";"SOD523F-2";"CPDUC1V8HT-HF";"Neosadit";"";;
"V3";"Proud I1";"52330";"*CPDUC1V8HT-HF";"";"1V8/2V3/8V";"160W Bi 0.1uA";"ZSOD523F";"SOD523F-2";"CPDUC1V8HT-HF";"Neosadit";"";;
"V4";"MÏniË +5V/-5V";"53010";"BSH108";"";"Uds=30V,Ugs=20V";"0.83W, Ic=1.2A";"ZSOT23";"SOT23";"";"Automat";"";;
"N2";"Proud I2";"55657.02";"OPA4991IPWR";"";"5...26V/2.7V...40V";"";"ZTSSOP14";"TSSOP14";"OPA4991IPWR";"Automat";"";;
"D1";"PamÏù";"55686";"11AA010T-I/TT";"";"";"";"ZSOT23A";"SOT23";"11AA010T-I/TT";"Automat";"";;
"N1";"DC 3V3";"55875";"TPS70933DBV";"";"max. 30V / 3V3";"150 mA";"ZSOT23_5";"SOT23-5";"TPS70933DBV";"Automat";"";;
"L2";"L6A - PLL";"56029";"BLM21PG221SN1D";"";"";"2A 220R";"Z0805";"0805";"";"Automat";"";;
"L1";"MÏniË +5V/-5V";"56074";"150uH";"";"";"100mA  7R9 ";"Z1210";"1210";"NLCV32T-151K-EF";"Automat";"";;
"N3";"MÏniË +5V/-5V";"58108";"LM2776DBVT";"";"2V7...+5V";"200mA";"ZSOT23_6";"SOT23-6";"LM2776DBVT";"Automat";"";;
"X7";"";"81247";"DS1126-S80BP";"";"";"";"RJ45H";"18.4 x15.8x12.2 mm";"DS1126-S80BP";"Automat";"";;
"X1";"Proud I1";"90024";"*Dira 0.8mm";"";"";"";"HOLE_008_P_015";"d=0.8/1.5 mm";"";"Neosadit";"";;
"X2";"Proud I1";"90024";"*Dira 0.8mm";"";"";"";"HOLE_008_P_015";"d=0.8/1.5 mm";"";"Neosadit";"";;
"X3";"Proud I2";"90024";"*Dira 0.8mm";"";"";"";"HOLE_008_P_015";"d=0.8/1.5 mm";"";"Neosadit";"";;
"X4";"Proud I2";"90024";"*Dira 0.8mm";"";"";"";"HOLE_008_P_015";"d=0.8/1.5 mm";"";"Neosadit";"";;
"X5";"Proud I3";"90024";"*Dira 0.8mm";"";"";"";"HOLE_008_P_015";"d=0.8/1.5 mm";"";"Neosadit";"";;
"X6";"Proud I3";"90024";"*Dira 0.8mm";"";"";"";"HOLE_008_P_015";"d=0.8/1.5 mm";"";"Neosadit";"";;
"X8";"";"90034";"*Dira 1.2 mm";"";"";"";"HOLE_012_P_022";"d=1.2/2.2 mm";"";"Neosadit";"";;
