Designator,Group,MEgA_ID,Comment,Tolerance,Voltage,Power,Footprint,Size,Manufacturer,Assembled,Dry,Fitted
"L1","MÏniË +5V/-5V","56074","*150uH","","","100mA  7R9","Z1210","1210","NLCV32T-151K-EF","Neosadit","","Not Fitted"
"L2","L6A - PLL","56029","BLM21PG221SN1D","","","2A 220R","Z0805","0805","","Automat","","Fitted"
"N1","DC 3V3","55875","TPS70933DBV","","3V3","150 mA","ZSOT23_5","SOT23-5","","Automat","","Fitted"
"N2","Proud I2","55657.02","*OPA4991IPWR","","5...26V/2.7V...40V","","ZTSSOP14","TSSOP14","OPA4991IPWR","Neosadit","","Not Fitted"
"N3","MÏniË +5V/-5V","58108","*LM2776DBVT","","2V7...+5V","200mA","ZSOT23_6","SOT23-6","LM2776DBVT","Neosadit","","Not Fitted"
"R1","Proud I1","50559","1K0","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R2","Proud I1","50756","220K","1%","75V","","Z0603","0603","RC0603FR-07220KL","Automat","","Fitted"
"R3","Proud I1","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Fitted"
"R4","Proud I1","50728","*5K1","1%","75V","","Z0603","0603","","Neosadit","","Not Fitted"
"R5","Proud I1","50559","*1K0","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R6","Proud I1","50529","*100R","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R7","Proud I2","50559","1K0","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R8","Proud I2","50756","220K","1%","75V","","Z0603","0603","RC0603FR-07220KL","Automat","","Fitted"
"R9","Proud I2","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Fitted"
"R10","Proud I2","50728","*5K1","1%","75V","","Z0603","0603","","Neosadit","","Not Fitted"
"R11","Proud I2","50559","*1K0","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R12","Proud I2","50529","*100R","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R13","Proud I3","50559","1K0","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R14","Proud I3","50756","220K","1%","75V","","Z0603","0603","RC0603FR-07220KL","Automat","","Fitted"
"R15","Proud I3","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Fitted"
"R16","Proud I3","50728","*5K1","1%","75V","","Z0603","0603","","Neosadit","","Not Fitted"
"R17","Proud I3","50559","*1K0","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R18","Proud I3","50529","*100R","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R19","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R20","PamÏù","50500","100K","1%","75V","0.0625W","Z0603","0603","","Automat","","Fitted"
"R21","MÏniË +5V/-5V","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"R22","MÏniË +5V/-5V","50558","*10K","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R23","MÏniË +5V/-5V","50559","*1K0","1%","75V","0.0625W","Z0603","0603","","Neosadit","","Not Fitted"
"R24","","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"R25","","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
