Designator,Group,MEgA_ID,Comment,Tolerance,Voltage,Power,Footprint,Size,Manufacturer,Assembled,Dry
"R30","Proud I1","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit",""
"R31","Proud I2","50709","56R","1%","75V","","Z0603","0603","","Automat",""
"R32","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat",""
"V1","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit",""
"V2","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit",""
"V3","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit",""
"V4","MÏniË +5V/-5V","53010","BSH108","","Uds=30V,Ugs=20V","0.83W, Ic=1.2A","ZSOT23","SOT23","","Automat",""
"V5","L3 - Napeti","52063","BAT54BRW","","30V @1V","200mA","ZSOT363","SOT363","BAT54BRW","Automat",""
"V6","L3 - Napeti","52063","BAT54BRW","","30V @1V","200mA","ZSOT363","SOT363","BAT54BRW","Automat",""
"X1","Proud I1","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit",""
"X2","Proud I1","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit",""
"X3","Proud I2","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit",""
"X4","Proud I2","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit",""
"X5","Proud I3","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit",""
"X6","Proud I3","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit",""
"X7","","81247","DS1126-S80BP","","","","DS1126-S80BP","RJ45","","Manual",""
"X8","","90034","*Dira 1.2 mm","","","","HOLE_012_P_022","d=1.2/2.2 mm","","Neosadit",""
